Código,Unidad,Descripción,Precio (€)
S2T,ud,m. Pecho paloma sobre canto recto en luna. Espesor de 15 a 19 mm.,22.34
S3T,ud,m. Pecho paloma sobre canto curvo en luna. Espesro de 10 a 12 mm.,34.75
S4T,ud,m. Pecho paloma sobre canto curvo en luna. Espesor de 15 a 19 mm.,39.71
T1T,ud,m. Inglete en laminar. Espesor hasta 12 mm.,21.53
T2T,ud,m. Inglete en laminar. Espesor de más de 12 y hasta 18 mm.,25.22
T3T,ud,m. Inglete en laminar. Espesor de más de 18 mm.,31.58
U1T,ud,ud. Taladro en luna. Espesor hasta 6 mm.,5.23
U2T,ud,ud. Taladro en luna. Espesor de 8 a 12 mm.,7.11
U3T,ud,ud. Taladro en luna. Espesor 15 mm o mayor.,7.48
U4T,ud,ud. Taladro en vidrio armado.,11.21
V1T,ud,ud. Esquina ochava o roma pulida en luna. Espesor hasta 6 mm.,4.47
V2T,ud,ud. Esquina ochava o roma pulida en luna. Espesor de 8 a 12 mm.,6.14
V3T,ud,ud. Esquina ochava o roma pulida en luna. Espesor 15 mm o mayor.,9.63
V4T,ud,ud. Esquina ochava o roma biselada en luna. Espesor hasta 6 mm.,10.27
V5T,ud,ud. Esquina ochava o roma biselada en luna. Espesor de 8 a 12 mm.,12.84
V6T,ud,ud. Esquina ochava o roma biselada en luna. Espesor 15 mm o mayor.,18.2
W2T,ud,ud. Círculo para salida de tubo o extractor en cualquier tipo de vidrio.,12.73
W3T,ud,"ud. Escuadra, cajeado o rejilla para ventilación en cualquier tipo de vidrio.",8.49
W4T,ud,ud. Uñero en vidrio. Espesor hasta 5 mm.,5.98
W5T,ud,ud. Uñero en vidrio. Espesor 6 mm o mayor.,11.39
W6T,ud,m. Estría en vidrio. Espesor hasta 5 mm.,12.49
W7T,ud,m. Estría en vidrio. Espesor 6 mm o mayor.,19.69
X1T,ud,ud. Curvadode vidrio paravitrinaexpositoradecomercio. Incluyemolde necesarioy curvado en horno. No incluye el vidrio ni otras manufacturas.,142.98
X2T,ud,ud. Curvado de vidrio para cualquier vidrio curvo excepto vitrina expositora. Incluye molde necesario y curvado en horno. No incluye el vidrio ni otras manufacturas.,238.65
X3T,ud,"ud. Restauración vidriera emplomada de puerta, excepto pintura o tallas.",284.64
X4T,ud,"ud. Restauración vidriera de latón de puerta, excepto pintura o tallas.",284.64
X5T,ud,ud. Talla al chorro de arena en vidrio de hasta 450 X 1000 mm.,266.24
X6T,ud,ud. Talla con relieves al chorro de arena en vidrio de hasta 450 X 1000 mm.,355.99
X7T,ud,m. Línea al chorro de arena.,11.97
W1T,m2,m2. Pegado de espejo.,4.7
Y1T,ud,"ud. Intervención mínima sin reposición de vidrio, una sola visita.",16.44
YIT,ud,Visita solicitada expresamente por MAPFRE para realizar valoración e informe.,21.19
ZA8,ud,"Trabajo sin precio en tarifa, por horas de oficial.",22.92
